Period,Period1,Type,Revision,Location,Integrated,Values
05-01-24,May-24,FTE,V32,New Delhi,Integrated,0.00
05-01-24,May-24,FTE,V32,New Delhi,Non-Integrated,0.50
05-01-24,May-24,FTE,V32,Offshore Other,All,0.10
05-01-24,May-24,FTE,V32,Offshore Other,Integrated,0.00
05-01-24,May-24,FTE,V32,Offshore Other,Non-Integrated,0.10
05-01-24,May-24,FTE,V32,Tengiz,All,105.00
05-01-24,May-24,FTE,V32,Tengiz,Integrated,90.00
05-01-24,May-24,FTE,V32,Tengiz,Non-Integrated,15.00
06-01-24,Jun-24,FTE,V32,Almaty,All,1.00
06-01-24,Jun-24,FTE,V32,Almaty,Integrated,0.00
06-01-24,Jun-24,FTE,V32,Almaty,Non-Integrated,1.00
06-01-24,Jun-24,FTE,V32,Atyrau,All,72.00
06-01-24,Jun-24,FTE,V32,Atyrau,Integrated,10.00
06-01-24,Jun-24,FTE,V32,Atyrau,Non-Integrated,62.00
06-01-24,Jun-24,FTE,V32,Farnborough,All,14.93
06-01-24,Jun-24,FTE,V32,Farnborough,Integrated,0.25
06-01-24,Jun-24,FTE,V32,Farnborough,Non-Integrated,14.68
06-01-24,Jun-24,FTE,V32,New Delhi,All,0.00
06-01-24,Jun-24,FTE,V32,New Delhi,Integrated,0.00
06-01-24,Jun-24,FTE,V32,New Delhi,Non-Integrated,0.00
06-01-24,Jun-24,FTE,V32,Offshore Other,All,0.00
06-01-24,Jun-24,FTE,V32,Offshore Other,Integrated,0.00
06-01-24,Jun-24,FTE,V32,Offshore Other,Non-Integrated,0.00
06-01-24,Jun-24,FTE,V32,Tengiz,All,98.50
06-01-24,Jun-24,FTE,V32,Tengiz,Integrated,83.50
06-01-24,Jun-24,FTE,V32,Tengiz,Non-Integrated,15.00
07-01-24,Jul-24,FTE,V32,Almaty,All,1.00
07-01-24,Jul-24,FTE,V32,Almaty,Integrated,0.00
07-01-24,Jul-24,FTE,V32,Almaty,Non-Integrated,1.00
07-01-24,Jul-24,FTE,V32,Atyrau,All,58.00
07-01-24,Jul-24,FTE,V32,Atyrau,Integrated,1.00
07-01-24,Jul-24,FTE,V32,Atyrau,Non-Integrated,57.00
07-01-24,Jul-24,FTE,V32,Farnborough,All,12.01
07-01-24,Jul-24,FTE,V32,Farnborough,Integrated,0.00
07-01-24,Jul-24,FTE,V32,Farnborough,Non-Integrated,12.01
07-01-24,Jul-24,FTE,V32,New Delhi,All,0.00
07-01-24,Jul-24,FTE,V32,New Delhi,Integrated,0.00
07-01-24,Jul-24,FTE,V32,New Delhi,Non-Integrated,0.00
07-01-24,Jul-24,FTE,V32,Offshore Other,All,0.00
07-01-24,Jul-24,FTE,V32,Offshore Other,Integrated,0.00
07-01-24,Jul-24,FTE,V32,Offshore Other,Non-Integrated,0.00
07-01-24,Jul-24,FTE,V32,Tengiz,All,32.00
07-01-24,Jul-24,FTE,V32,Tengiz,Integrated,18.00
07-01-24,Jul-24,FTE,V32,Tengiz,Non-Integrated,14.00
08-01-24,Aug-24,FTE,V32,Almaty,All,1.00
08-01-24,Aug-24,FTE,V32,Almaty,Integrated,0.00
08-01-24,Aug-24,FTE,V32,Almaty,Non-Integrated,1.00
08-01-24,Aug-24,FTE,V32,Atyrau,All,48.00
08-01-24,Aug-24,FTE,V32,Atyrau,Integrated,1.00
08-01-24,Aug-24,FTE,V32,Atyrau,Non-Integrated,47.00
08-01-24,Aug-24,FTE,V32,Farnborough,All,9.24
08-01-24,Aug-24,FTE,V32,Farnborough,Integrated,0.00
08-01-24,Aug-24,FTE,V32,Farnborough,Non-Integrated,9.24
08-01-24,Aug-24,FTE,V32,New Delhi,All,0.00
08-01-24,Aug-24,FTE,V32,New Delhi,Integrated,0.00
08-01-24,Aug-24,FTE,V32,New Delhi,Non-Integrated,0.00
08-01-24,Aug-24,FTE,V32,Offshore Other,All,0.00
08-01-24,Aug-24,FTE,V32,Offshore Other,Integrated,0.00
08-01-24,Aug-24,FTE,V32,Offshore Other,Non-Integrated,0.00
08-01-24,Aug-24,FTE,V32,Tengiz,All,32.00
08-01-24,Aug-24,FTE,V32,Tengiz,Integrated,18.00
08-01-24,Aug-24,FTE,V32,Tengiz,Non-Integrated,14.00
09-01-24,Sep-24,FTE,V32,Almaty,All,1.00
09-01-24,Sep-24,FTE,V32,Almaty,Integrated,0.00
09-01-24,Sep-24,FTE,V32,Almaty,Non-Integrated,1.00
09-01-24,Sep-24,FTE,V32,Atyrau,All,30.00
09-01-24,Sep-24,FTE,V32,Atyrau,Integrated,1.00
09-01-24,Sep-24,FTE,V32,Atyrau,Non-Integrated,29.00
09-01-24,Sep-24,FTE,V32,Farnborough,All,5.47
09-01-24,Sep-24,FTE,V32,Farnborough,Integrated,0.00
09-01-24,Sep-24,FTE,V32,Farnborough,Non-Integrated,5.47
09-01-24,Sep-24,FTE,V32,New Delhi,All,0.00
09-01-24,Sep-24,FTE,V32,New Delhi,Integrated,0.00
09-01-24,Sep-24,FTE,V32,New Delhi,Non-Integrated,0.00
09-01-24,Sep-24,FTE,V32,Offshore Other,All,0.00
09-01-24,Sep-24,FTE,V32,Offshore Other,Integrated,0.00
09-01-24,Sep-24,FTE,V32,Offshore Other,Non-Integrated,0.00
09-01-24,Sep-24,FTE,V32,Tengiz,All,24.00
09-01-24,Sep-24,FTE,V32,Tengiz,Integrated,14.50
09-01-24,Sep-24,FTE,V32,Tengiz,Non-Integrated,9.50
10-01-24,Oct-24,FTE,V32,Almaty,All,1.00
10-01-24,Oct-24,FTE,V32,Almaty,Integrated,0.00
10-01-24,Oct-24,FTE,V32,Almaty,Non-Integrated,1.00
10-01-24,Oct-24,FTE,V32,Atyrau,All,26.00
10-01-24,Oct-24,FTE,V32,Atyrau,Integrated,1.00
10-01-24,Oct-24,FTE,V32,Atyrau,Non-Integrated,25.00
10-01-24,Oct-24,FTE,V32,Farnborough,All,4.47
10-01-24,Oct-24,FTE,V32,Farnborough,Integrated,0.00
10-01-24,Oct-24,FTE,V32,Farnborough,Non-Integrated,4.47
10-01-24,Oct-24,FTE,V32,New Delhi,All,0.00
10-01-24,Oct-24,FTE,V32,New Delhi,Integrated,0.00
10-01-24,Oct-24,FTE,V32,New Delhi,Non-Integrated,0.00
10-01-24,Oct-24,FTE,V32,Offshore Other,All,0.00
10-01-24,Oct-24,FTE,V32,Offshore Other,Integrated,0.00
10-01-24,Oct-24,FTE,V32,Offshore Other,Non-Integrated,0.00
10-01-24,Oct-24,FTE,V32,Tengiz,All,12.00
10-01-24,Oct-24,FTE,V32,Tengiz,Integrated,7.00
10-01-24,Oct-24,FTE,V32,Tengiz,Non-Integrated,5.00
11-01-24,Nov-24,FTE,V32,Almaty,All,1.00
11-01-24,Nov-24,FTE,V32,Almaty,Integrated,0.00
11-01-24,Nov-24,FTE,V32,Almaty,Non-Integrated,1.00
